passenger_id,passenger_name,passenger_origin,passenger_destination,passenger_time,driver_id,driver_name,driver_origin,driver_destination,driver_time,driver_vehicle_type,driver_seats_available,match_score,match_category
P041,Dr Danny Cook,Clapham,Hackney,07:45,D001,Joshua Stewart,Peckham,Wembley,08:00,Electric,3,30.25,Not recommended
P042,Marion Steele-Harper,Ealing,Chelsea,08:30,D006,Oliver Edwards-Matthews,Ealing,Paddington,09:15,Petrol,1,57.16,Weak match
P042,Marion Steele-Harper,Ealing,Chelsea,08:30,D010,Martyn Wilson,Ealing,Whitechapel,08:45,Petrol,1,51.16,Weak match
P042,Marion Steele-Harper,Ealing,Chelsea,08:30,D015,Kayleigh Daniels,Ealing,Brixton,09:15,Diesel,3,47.29,Weak match
P043,Wayne Page-Carter,Waterloo,Victoria,08:15,D013,Maria Bruce,King's Cross,Clapham,08:00,Hybrid,1,63.0,Good match
P043,Wayne Page-Carter,Waterloo,Victoria,08:15,D011,Sarah Hammond,King's Cross,Waterloo,09:00,Hybrid,2,54.64,Weak match
P043,Wayne Page-Carter,Waterloo,Victoria,08:15,D018,Lydia Williams,Shoreditch,King's Cross,08:45,Petrol,4,45.53,Weak match
P044,Alexander Taylor,Clapham,Hackney,09:30,D009,Charlotte Haynes,Shoreditch,Chelsea,09:30,Hybrid,4,38.0,Not recommended
P044,Alexander Taylor,Clapham,Hackney,09:30,D014,Olivia King,Victoria,Tottenham,08:00,Diesel,1,32.05,Not recommended
P044,Alexander Taylor,Clapham,Hackney,09:30,D007,Victor Patel,Chelsea,Wembley,09:15,Hybrid,3,31.85,Not recommended
P045,Frances Buckley-Ryan,Greenwich,Wembley,07:15,D001,Joshua Stewart,Peckham,Wembley,08:00,Electric,3,56.4,Weak match
P045,Frances Buckley-Ryan,Greenwich,Wembley,07:15,D007,Victor Patel,Chelsea,Wembley,09:15,Hybrid,3,38.0,Not recommended
P045,Frances Buckley-Ryan,Greenwich,Wembley,07:15,D008,Eric O'Neill,Tottenham,Ealing,08:15,Electric,3,22.01,Not recommended
P046,Ms Kayleigh Watson,Victoria,Wimbledon,07:30,D020,Hazel Lambert,Victoria,Lewisham,07:30,Petrol,2,65.0,Good match
P046,Ms Kayleigh Watson,Victoria,Wimbledon,07:30,D013,Maria Bruce,King's Cross,Clapham,08:00,Hybrid,1,40.56,Weak match
P046,Ms Kayleigh Watson,Victoria,Wimbledon,07:30,D019,Dr Joan Taylor,Wimbledon,Tottenham,07:30,Hybrid,1,38.0,Not recommended
P047,David Anderson,Richmond,King's Cross,07:45,D018,Lydia Williams,Shoreditch,King's Cross,08:45,Petrol,4,35.0,Not recommended
P047,David Anderson,Richmond,King's Cross,07:45,D011,Sarah Hammond,King's Cross,Waterloo,09:00,Hybrid,2,30.26,Not recommended
P047,David Anderson,Richmond,King's Cross,07:45,D005,Kayleigh Mitchell,Wimbledon,London Bridge,07:30,Diesel,1,30.08,Not recommended
P048,John Griffiths,Hackney,Westminster,07:00,D012,Robert Wilson,Tottenham,Victoria,08:15,Electric,2,50.88,Weak match
P048,John Griffiths,Hackney,Westminster,07:00,D009,Charlotte Haynes,Shoreditch,Chelsea,09:30,Hybrid,4,49.73,Weak match
P048,John Griffiths,Hackney,Westminster,07:00,D018,Lydia Williams,Shoreditch,King's Cross,08:45,Petrol,4,48.6,Weak match
P049,Miss Alice Tomlinson,Brixton,Clapham,08:30,D016,Gerard Jones,Chelsea,Clapham,08:45,Petrol,1,63.29,Good match
P049,Miss Alice Tomlinson,Brixton,Clapham,08:30,D013,Maria Bruce,King's Cross,Clapham,08:00,Hybrid,1,42.29,Weak match
P049,Miss Alice Tomlinson,Brixton,Clapham,08:30,D012,Robert Wilson,Tottenham,Victoria,08:15,Electric,2,40.59,Weak match
P050,Simon Cunningham,Mile End,Lewisham,07:00,D002,Philip Clarke,Hackney,Greenwich,08:45,Hybrid,2,54.59,Weak match
P050,Simon Cunningham,Mile End,Lewisham,07:00,D020,Hazel Lambert,Victoria,Lewisham,07:30,Petrol,2,35.0,Not recommended
P050,Simon Cunningham,Mile End,Lewisham,07:00,D017,Dr Dennis Bates,Paddington,Islington,07:00,Diesel,3,34.0,Not recommended
